Category;Brand;Product;Variant;SKU;Price;"Old price";"Currency ID";Weight;Stock;Units;Visible;Featured;"Meta title";"Meta keywords";"Meta description";Annotation;Description;Images;URL;"to__okaycms__rozetka 1";"to__okaycms__google_merchant 1";volume;"to__okaycms__hotline 1";color;size;shape;productId;material
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 5 колір 14";sam14815;4150.00;;4;0.00;;;1;1;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;14;8;1;10;5
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 5 колір 13";sam13815;4150.00;;4;0.00;;;1;1;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;13;8;1;10;5
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 5 колір 12";sam12815;4150.00;;4;0.00;;;1;1;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;12;8;1;10;5
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 5 колір 11";sam11815;4150.00;;4;0.00;;;1;1;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;11;8;1;10;5
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 5 колір 10";sam10815;4150.00;;4;0.00;;;1;1;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;10;8;1;10;5
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 5 колір 9";sam9815;4150.00;;4;0.00;;;1;1;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;9;8;1;10;5
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 5 колір 8";sam8815;4150.00;;4;0.00;;;1;1;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;8;8;1;10;5
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 5 колір 7";sam7815;4150.00;;4;0.00;;;1;1;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;7;8;1;10;5
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 5 колір 6";sam6815;4150.00;;4;0.00;;;1;1;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;6;8;1;10;5
каталог;;"Дошка садху дизайн ""Самурай""";"Дошка садху дизайн ""Самурай"" Крок 8 Форма 1 Матеріал 5 колір 5";sam5815;4150.00;;4;0.00;;;1;1;"Дошка садху дизайн ""Стихії""";"Дошка садху дизайн ""Стихії"", каталог";"Дошка садху дизайн ""Стихії""";;;photo1670280938.jpeg;doshka-sadhu-dizajn-stihii;0;0;0.00000;0;5;8;1;10;5
